id	paper	permanent_id	sample_type	latitude	longitude	continent	year_of_sampling_from	year_of_sampling_to	Biome	primers	MAT	MAP	pH	SOC	ITS_total	manipulated	abundances
32344	405	GF04006086S	soil	43.3874	144.654	Asia	2012	2012	forest	ITS1F_KYO2/ITS2_KYO2	6.8	1038	5.5	17	72271	0	1
32358	262	GF05006264S	soil	37.8077	-25.4115	Europe	2017	2017	grassland	ITS3ngs1 to 5 + ITS3ngs10/ITS4ngs	15.3	1135	6.3	12.7	43860	0	3
32359	262	GF05006269S	soil	37.7918	-25.2952	Europe	2017	2017	grassland	ITS3ngs1 to 5 + ITS3ngs10/ITS4ngs	14	1273	6.1	13.6	41946	0	17
32523	194	GF05013021S	soil	33.1511	49.3017	Asia	2017	2017	forest	ITS9MUNngs/ITS4ngsUni	12.6	522	7.5	3.5	17177	0	1
32524	489	GF03009550S	topsoil	32.04	118.87	Asia	2015	2015	cropland	ITS3/ITS4	16	1009	6.6	14	26694	0	1
32551	439	GF04003401S	soil	29.79	105.01	Asia	2017	2017	cropland	ITS5/ITS2	17.8	1040	7.3	9	70926	0	1
32554	80	GF05023131S	root	34.767	-78.101	North America	2018	2018	grassland	5.8S_FUN/ITS4_FUN	17.4	1280	5.3	12.8	67580	0	6
32565	613	GF02006247S	soil	36.074	108.468	Asia	2017	2017	cropland	ITS5/ITS2	8.8	625	7.3	15	56567	0	1
32566	613	GF02006246S	soil	36.074	108.468	Asia	2017	2017	cropland	ITS5/ITS2	8.8	625	7.3	15	52997	0	34
32570	613	GF02006243S	soil	36.049	108.527	Asia	2017	2017	forest	ITS5/ITS2	8.9	591	7.5	6.2	37921	0	2
32573	181	GF05014427S	air	45.2487	8.69997	Europe	2016	2016	cropland	ITS1F_KYO2/ITS2	14	869	7	6.7	46809	0	2
32575	181	GF05014583S	air	45.2487	8.69997	Europe	2016	2016	cropland	ITS1F_KYO2/ITS2	14	869	7	6.7	67023	0	2
32576	181	GF05014455S	air	45.2487	8.69997	Europe	2016	2016	cropland	ITS1F_KYO2/ITS2	14	869	7	6.7	43895	0	8
32601	123	GF05019336S	soil	50.7697	4.07903	Europe	2018	2018	cropland	ITS86F/ITS4	10.4	847	6.2	0	10104	0	51
32626	339	GF04020224S	soil	30.961	116.933	Asia	2015	2015	cropland	gITS7/ITS4	16.9	1228	6.4	13.5	5518	0	1
32629	339	GF04020223S	soil	30.8996	116.971	Asia	2015	2015	cropland	gITS7/ITS4	17	1239	6.4	14.1	16063	0	14
32630	339	GF04020229S	soil	30.8989	116.971	Asia	2015	2015	cropland	gITS7/ITS4	17	1239	6.3	14.5	6561	0	2
32631	339	GF04020226S	soil	30.9613	116.932	Asia	2015	2015	cropland	gITS7/ITS4	16.9	1228	6.4	13.5	7120	0	13
32632	442	GF04003160S	soil	37.6167	101.2	Asia	2012	2012	grassland	gITS7/ITS4	-0.3	362	7.5	2.7	19887	1	2
32644	181	GF05014562S	air	45.2487	8.69997	Europe	2016	2016	cropland	ITS1F_KYO2/ITS2	14	869	7	6.7	39065	0	2
32661	606	GF02006783S	soil	35.47	101.27	Asia	2016	2016	grassland	ITS5/ITS2	0	485	7.2	3.4	43349	0	2
32848	262	GF05006552S	soil	63.9478	19.8406	Europe	2017	2017	grassland	ITS3ngs1 to 5 + ITS3ngs10/ITS4ngs	3.3	583	5.1	16.1	44343	0	23
